# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 1 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 1 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
   1.00000   1    0.267810   -5.201963e+01   -2.775756e-01
   1.00000   1    0.535620   -5.185294e+01   -2.837775e-01
   1.00000   1    0.803430   -5.173088e+01   -2.936777e-01
   1.00000   1    1.071240   -5.158109e+01   -3.099579e-01
   1.00000   1    1.339050   -5.136817e+01   -3.367937e-01
   1.00000   1    1.606860   -5.105199e+01   -3.809293e-01
   1.00000   1    1.874670   -5.057633e+01   -4.531747e-01
   1.00000   1    2.142480   -4.985962e+01   -5.705215e-01
   1.00000   1    2.410290   -4.878576e+01   -7.587711e-01
   1.00000   1    2.678100   -4.719994e+01   -1.054775e+00
   1.00000   1    2.945910   -4.492154e+01   -1.505423e+00
   1.00000   1    3.213720   -4.179006e+01   -2.156829e+00
   1.00000   1    3.481530   -3.774490e+01   -3.023559e+00
   1.00000   1    3.749340   -3.290319e+01   -4.033482e+00
   1.00000   1    4.017150   -2.757617e+01   -4.976998e+00
   1.00000   1    4.284960   -2.219645e+01   -5.541280e+00
   1.00000   1    4.552770   -1.719032e+01   -5.483790e+00
   1.00000   1    4.820580   -1.286378e+01   -4.820785e+00
   1.00000   1    5.088390   -9.353787e+00   -3.814546e+00
   1.00000   1    5.356200   -6.648851e+00   -2.775097e+00
   1.00000   1    5.624010   -4.645698e+00   -1.898406e+00
   1.00000   1    5.891820   -3.205637e+00   -1.244921e+00
   1.00000   1    6.159630   -2.192354e+00   -7.940329e-01
   1.00000   1    6.427440   -1.490090e+00   -4.975747e-01
   1.00000   1    6.695250   -1.008473e+00   -3.083849e-01
   1.00000   1    6.963060   -6.805496e-01   -1.898430e-01
   1.00000   1    7.230870   -4.583639e-01   -1.163929e-01
   1.00000   1    7.498680   -3.083169e-01   -7.118893e-02
   1.00000   1    7.766490   -2.072103e-01   -4.348120e-02
   1.00000   1    8.034300   -1.391813e-01   -2.653825e-02
   1.00000   1    8.302110   -9.345286e-02   -1.619196e-02
   1.00000   1    8.569920   -6.273409e-02   -9.878570e-03
   1.00000   1    8.837730   -4.210679e-02   -6.027393e-03
   1.00000   1    9.105540   -2.825943e-02   -3.678374e-03
   1.00000   1    9.373350   -1.896505e-02   -2.245485e-03
   1.00000   1    9.641160   -1.272724e-02   -1.371265e-03
   1.00000   1    9.908970   -8.541051e-03   -8.377517e-04
   1.00000   1   10.176780   -5.731776e-03   -5.120529e-04
   1.00000   1   10.444590   -3.846542e-03   -3.131432e-04
   1.00000   1   10.712400   -2.581409e-03   -1.916120e-04
   1.00000   1   10.980210   -1.732402e-03   -1.173217e-04
   1.00000   1   11.248020   -1.162643e-03   -7.188440e-05
   1.00000   1   11.515830   -7.802794e-04   -4.407768e-05
   1.00000   1   11.783640   -5.236723e-04   -2.704947e-05
   1.00000   1   12.051450   -3.514590e-04   -1.661439e-05
   1.00000   1   12.319260   -2.358820e-04   -1.021474e-05
   1.00000   1   12.587070   -1.583142e-04   -6.286674e-06
   1.00000   1   12.854880   -1.062550e-04   -3.873467e-06
   1.00000   1   13.122690   -7.131534e-05   -2.389463e-06
   1.00000   1   13.390500   -4.786526e-05   -1.475911e-06
   1.00000   1   13.658310   -3.212636e-05   -9.128897e-07
   1.00000   1   13.926120   -2.156283e-05   -5.654762e-07
   1.00000   1   14.193930   -1.447282e-05   -3.508236e-07
   1.00000   1   14.461740   -9.714113e-06   -2.180129e-07
   1.00000   1   14.729550   -6.520122e-06   -1.357174e-07
   1.00000   1   14.997360   -4.376336e-06   -8.464254e-08
   1.00000   1   15.265170   -2.937432e-06   -5.289090e-08
   1.00000   1   15.532980   -1.971636e-06   -3.311692e-08
   1.00000   1   15.800790   -1.323390e-06   -2.077933e-08
   1.00000   1   16.068600   -8.882809e-07   -1.306648e-08
   1.00000   1   16.336410   -5.962309e-07   -8.234960e-09
   1.00000   1   16.604220   -4.002027e-07   -5.201956e-09
   1.00000   1   16.872030   -2.686253e-07   -3.293797e-09
   1.00000   1   17.139840   -1.803080e-07   -2.090595e-09
   1.00000   1   17.407650   -1.210276e-07   -1.330147e-09
   1.00000   1   17.675460   -8.123714e-08   -8.483869e-10
   1.00000   1   17.943270   -5.452879e-08   -5.424457e-10
   1.00000   1   18.211080   -3.660143e-08   -3.476838e-10
   1.00000   1   18.478890   -2.456807e-08   -2.233939e-10
   1.00000   1   18.746700   -1.649091e-08   -1.438813e-10
   1.00000   1   19.014510   -1.106928e-08   -9.288956e-11
   1.00000   1   19.282320   -7.430094e-09   -6.010863e-11
   1.00000   1   19.550130   -4.987352e-09   -3.898420e-11
   1.00000   1   19.817940   -3.347698e-09   -2.533920e-11
   1.00000   1   20.085750   -2.247104e-09   -1.650505e-11
   1.00000   1   20.353560   -1.508344e-09   -1.077273e-11
   1.00000   1   20.621370   -1.012461e-09   -7.045013e-12
   1.00000   1   20.889180   -6.796047e-10   -4.615793e-12
   1.00000   2    0.267810   -5.092649e+01   -2.066864e-01
   1.00000   2    0.535620   -5.077844e+01   -2.129384e-01
   1.00000   2    0.803430   -5.069124e+01   -2.230215e-01
   1.00000   2    1.071240   -5.058896e+01   -2.395755e-01
   1.00000   2    1.339050   -5.043167e+01   -2.667737e-01
   1.00000   2    1.606860   -5.017288e+01   -3.113486e-01
   1.00000   2    1.874670   -4.974745e+01   -3.840595e-01
   1.00000   2    2.142480   -4.906166e+01   -5.017611e-01
   1.00000   2    2.410290   -4.798354e+01   -6.899523e-01
   1.00000   2    2.678100   -4.633912e+01   -9.849029e-01
   1.00000   2    2.945910   -4.392747e+01   -1.432532e+00
   1.00000   2    3.213720   -4.057152e+01   -2.077643e+00
   1.00000   2    3.481530   -3.620574e+01   -2.933689e+00
   1.00000   2    3.749340   -3.096230e+01   -3.929060e+00
   1.00000   2    4.017150   -2.519111e+01   -4.858195e+00
   1.00000   2    4.284960   -1.938092e+01   -5.415744e+00
   1.00000   2    4.552770   -1.400534e+01   -5.365426e+00
   1.00000   2    4.820580   -9.369752e+00   -4.722686e+00
   1.00000   2    5.088390   -5.632807e+00   -3.742425e+00
   1.00000   2    5.356200   -2.787865e+00   -2.726950e+00
   1.00000   2    5.624010   -7.218179e-01   -1.868432e+00
   1.00000   2    5.891820    7.202348e-01   -1.227120e+00
   1.00000   2    6.159630    1.691399e+00   -7.837784e-01
   1.00000   2    6.427440    2.321902e+00   -4.917822e-01
   1.00000   2    6.695250    2.713359e+00   -3.051551e-01
   1.00000   2    6.963060    2.940894e+00   -1.880583e-01
   1.00000   2    7.230870    3.058118e+00   -1.154134e-01
   1.00000   2    7.498680    3.102391e+00   -7.065433e-02
   1.00000   2    7.766490    3.099311e+00   -4.319067e-02
   1.00000   2    8.034300    3.066198e+00   -2.638084e-02
   1.00000   2    8.302110    3.014656e+00   -1.610677e-02
   1.00000   2    8.569920    2.952380e+00   -9.832397e-03
   1.00000   2    8.837730    2.884426e+00   -6.002217e-03
   1.00000   2    9.105540    2.814076e+00   -3.664484e-03
   1.00000   2    9.373350    2.743425e+00   -2.237670e-03
   1.00000   2    9.641160    2.673781e+00   -1.366743e-03
   1.00000   2    9.908970    2.605932e+00   -8.350379e-04
   1.00000   2   10.176780    2.540324e+00   -5.103552e-04
   1.00000   2   10.444590    2.477186e+00   -3.120353e-04
   1.00000   2   10.712400    2.416599e+00   -1.908612e-04
   1.00000   2   10.980210    2.358561e+00   -1.167972e-04
   1.00000   2   11.248020    2.303012e+00   -7.151005e-05
   1.00000   2   11.515830    2.249862e+00   -4.380688e-05
   1.00000   2   11.783640    2.199004e+00   -2.685219e-05
   1.00000   2   12.051450    2.150322e+00   -1.647033e-05
   1.00000   2   12.319260    2.103699e+00   -1.010962e-05
   1.00000   2   12.587070    2.059023e+00   -6.210176e-06
   1.00000   2   12.854880    2.016183e+00   -3.818008e-06
   1.00000   2   13.122690    1.975074e+00   -2.349435e-06
   1.00000   2   13.390500    1.935598e+00   -1.447154e-06
   1.00000   2   13.658310    1.897662e+00   -8.923264e-07
   1.00000   2   13.926120    1.861180e+00   -5.508384e-07
   1.00000   2   14.193930    1.826071e+00   -3.404489e-07
   1.00000   2   14.461740    1.792260e+00   -2.106897e-07
   1.00000   2   14.729550    1.759677e+00   -1.305679e-07
   1.00000   2   14.997360    1.728257e+00   -8.103442e-08
   1.00000   2   15.265170    1.697938e+00   -5.037111e-08
   1.00000   2   15.532980    1.668664e+00   -3.136255e-08
   1.00000   2   15.800790    1.640382e+00   -1.956131e-08
   1.00000   2   16.068600    1.613043e+00   -1.222304e-08
   1.00000   2   16.336410    1.586600e+00   -7.652300e-09
   1.00000   2   16.604220    1.561010e+00   -4.800338e-09
   1.00000   2   16.872030    1.536232e+00   -3.017531e-09
   1.00000   2   17.139840    1.512229e+00   -1.900915e-09
   1.00000   2   17.407650    1.488964e+00   -1.200140e-09
   1.00000   2   17.675460    1.466404e+00   -7.594223e-10
   1.00000   2   17.943270    1.444517e+00   -4.816565e-10
   1.00000   2   18.211080    1.423274e+00   -3.062032e-10
   1.00000   2   18.478890    1.402647e+00   -1.951244e-10
   1.00000   2   18.746700    1.382609e+00   -1.246377e-10
   1.00000   2   19.014510    1.363136e+00   -7.980398e-11
   1.00000   2   19.282320    1.344203e+00   -5.121931e-11
   1.00000   2   19.550130    1.325790e+00   -3.295100e-11
   1.00000   2   19.817940    1.307874e+00   -2.124790e-11
   1.00000   2   20.085750    1.290435e+00   -1.373278e-11
   1.00000   2   20.353560    1.273456e+00   -8.895585e-12
   1.00000   2   20.621370    1.256917e+00   -5.774820e-12
   1.00000   2   20.889180    1.240803e+00   -3.756829e-12
   2.00000   1    0.267810   -5.164146e+01   -3.267824e-01
   2.00000   1    0.535620   -5.147574e+01   -3.333505e-01
   2.00000   1    0.803430   -5.135460e+01   -3.437989e-01
   2.00000   1    1.071240   -5.120606e+01   -3.609846e-01
   2.00000   1    1.339050   -5.099496e+01   -3.893339e-01
   2.00000   1    1.606860   -5.068144e+01   -4.359954e-01
   2.00000   1    1.874670   -5.020974e+01   -5.124328e-01
   2.00000   1    2.142480   -4.949887e+01   -6.366748e-01
   2.00000   1    2.410290   -4.843354e+01   -8.361123e-01
   2.00000   1    2.678100   -4.685996e+01   -1.149886e+00
   2.00000   1    2.945910   -4.459869e+01   -1.627817e+00
   2.00000   1    3.213720   -4.149021e+01   -2.318922e+00
   2.00000   1    3.481530   -3.747428e+01   -3.238687e+00
   2.00000   1    3.749340   -3.266722e+01   -4.310425e+00
   2.00000   1    4.017150   -2.737820e+01   -5.311268e+00
   2.00000   1    4.284960   -2.203685e+01   -5.908588e+00
   2.00000   1    4.552770   -1.706652e+01   -5.844563e+00
   2.00000   1    4.820580   -1.277100e+01   -5.136662e+00
   2.00000   1    5.088390   -9.286235e+00   -4.064030e+00
   2.00000   1    5.356200   -6.600779e+00   -2.956521e+00
   2.00000   1    5.624010   -4.612077e+00   -2.022582e+00
   2.00000   1    5.891820   -3.182419e+00   -1.326452e+00
   2.00000   1    6.159630   -2.176464e+00   -8.461263e-01
   2.00000   1    6.427440   -1.479284e+00   -5.302900e-01
   2.00000   1    6.695250   -1.001155e+00   -3.287132e-01
   2.00000   1    6.963060   -6.756092e-01   -2.023937e-01
   2.00000   1    7.230870   -4.550351e-01   -1.241128e-01
   2.00000   1    7.498680   -3.060770e-01   -7.592774e-02
   2.00000   1    7.766490   -2.057044e-01   -4.638714e-02
   2.00000   1    8.034300   -1.381696e-01   -2.831962e-02
   2.00000   1    8.302110   -9.277333e-02   -1.728404e-02
   2.00000   1    8.569920   -6.227782e-02   -1.054833e-02
   2.00000   1    8.837730   -4.180048e-02   -6.438386e-03
   2.00000   1    9.105540   -2.805382e-02   -3.930758e-03
   2.00000   1    9.373350   -1.882703e-02   -2.400600e-03
   2.00000   1    9.641160   -1.263461e-02   -1.466690e-03
   2.00000   1    9.908970   -8.478875e-03   -8.965174e-04
   2.00000   1   10.176780   -5.690045e-03   -5.482840e-04
   2.00000   1   10.444590   -3.818534e-03   -3.355085e-04
   2.00000   1   10.712400   -2.562610e-03   -2.054364e-04
   2.00000   1   10.980210   -1.719785e-03   -1.258789e-04
   2.00000   1   11.248020   -1.154175e-03   -7.718930e-05
   2.00000   1   11.515830   -7.745955e-04   -4.737165e-05
   2.00000   1   11.783640   -5.198574e-04   -2.909828e-05
   2.00000   1   12.051450   -3.488984e-04   -1.789102e-05
   2.00000   1   12.319260   -2.341634e-04   -1.101173e-05
   2.00000   1   12.587070   -1.571606e-04   -6.785205e-06
   2.00000   1   12.854880   -1.054807e-04   -4.185952e-06
   2.00000   1   13.122690   -7.079565e-05   -2.585753e-06
   2.00000   1   13.390500   -4.751644e-05   -1.599485e-06
   2.00000   1   13.658310   -3.189222e-05   -9.908633e-07
   2.00000   1   13.926120   -2.140568e-05   -6.147916e-07
   2.00000   1   14.193930   -1.436733e-05   -3.820880e-07
   2.00000   1   14.461740   -9.643309e-06   -2.378817e-07
   2.00000   1   14.729550   -6.472597e-06   -1.483750e-07
   2.00000   1   14.997360   -4.344436e-06   -9.272608e-08
   2.00000   1   15.265170   -2.916019e-06   -5.806598e-08
   2.00000   1   15.532980   -1.957264e-06   -3.643813e-08
   2.00000   1   15.800790   -1.313742e-06   -2.291595e-08
   2.00000   1   16.068600   -8.818054e-07   -1.444432e-08
   2.00000   1   16.336410   -5.918843e-07   -9.125569e-09
   2.00000   1   16.604220   -3.972852e-07   -5.778950e-09
   2.00000   1   16.872030   -2.666669e-07   -3.668443e-09
   2.00000   1   17.139840   -1.789935e-07   -2.334381e-09
   2.00000   1   17.407650   -1.201452e-07   -1.489110e-09
   2.00000   1   17.675460   -8.064486e-08   -9.522472e-10
   2.00000   1   17.943270   -5.413123e-08   -6.104335e-10
   2.00000   1   18.211080   -3.633457e-08   -3.922700e-10
   2.00000   1   18.478890   -2.438894e-08   -2.526837e-10
   2.00000   1   18.746700   -1.637068e-08   -1.631539e-10
   2.00000   1   19.014510   -1.098857e-08   -1.055903e-10
   2.00000   1   19.282320   -7.375920e-09   -6.849058e-11
   2.00000   1   19.550130   -4.950988e-09   -4.452340e-11
   2.00000   1   19.817940   -3.323289e-09   -2.900439e-11
   2.00000   1   20.085750   -2.230719e-09   -1.893310e-11
   2.00000   1   20.353560   -1.497346e-09   -1.238297e-11
   2.00000   1   20.621370   -1.005078e-09   -8.113985e-12
   2.00000   1   20.889180   -6.746493e-10   -5.326106e-12
   2.00000   2    0.267810   -5.049418e+01   -2.539684e-01
   2.00000   2    0.535620   -5.034719e+01   -2.609008e-01
   2.00000   2    0.803430   -5.026105e+01   -2.720593e-01
   2.00000   2    1.071240   -5.016023e+01   -2.903827e-01
   2.00000   2    1.339050   -5.000505e+01   -3.205034e-01
   2.00000   2    1.606860   -4.974937e+01   -3.698943e-01
   2.00000   2    1.874670   -4.932856e+01   -4.505023e-01
   2.00000   2    2.142480   -4.864953e+01   -5.810491e-01
   2.00000   2    2.410290   -4.758128e+01   -7.898685e-01
   2.00000   2    2.678100   -4.595098e+01   -1.117277e+00
   2.00000   2    2.945910   -4.355900e+01   -1.614330e+00
   2.00000   2    3.213720   -4.022939e+01   -2.330857e+00
