# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Grid: -8.0 to 20.0 MeV, 0.1 MeV step
# Radial grid: 0.1 to 15.0 fm, 0.1 fm step
#
# Columns: E(MeV)  k  r(fm)  V(MeV)  W(MeV)
  -8.00000   1    0.100000   -5.208560e+01   -2.305269e-01
  -8.00000   1    0.200000   -5.206243e+01   -2.318150e-01
  -8.00000   1    0.300000   -5.203557e+01   -2.333703e-01
  -8.00000   1    0.400000   -5.200443e+01   -2.352477e-01
  -8.00000   1    0.500000   -5.196834e+01   -2.375137e-01
  -8.00000   1    0.600000   -5.192652e+01   -2.402481e-01
  -8.00000   1    0.700000   -5.187807e+01   -2.435471e-01
  -8.00000   1    0.800000   -5.182196e+01   -2.475264e-01
  -8.00000   1    0.900000   -5.175700e+01   -2.523251e-01
  -8.00000   1    1.000000   -5.168182e+01   -2.581104e-01
  -8.00000   1    1.100000   -5.159484e+01   -2.650831e-01
  -8.00000   1    1.200000   -5.149427e+01   -2.734840e-01
  -8.00000   1    1.300000   -5.137805e+01   -2.836015e-01
  -8.00000   1    1.400000   -5.124384e+01   -2.957808e-01
  -8.00000   1    1.500000   -5.108896e+01   -3.104342e-01
  -8.00000   1    1.600000   -5.091040e+01   -3.280531e-01
  -8.00000   1    1.700000   -5.070473e+01   -3.492220e-01
  -8.00000   1    1.800000   -5.046813e+01   -3.746336e-01
  -8.00000   1    1.900000   -5.019631e+01   -4.051064e-01
  -8.00000   1    2.000000   -4.988452e+01   -4.416027e-01
  -8.00000   1    2.100000   -4.952751e+01   -4.852483e-01
  -8.00000   1    2.200000   -4.911955e+01   -5.373509e-01
  -8.00000   1    2.300000   -4.865447e+01   -5.994172e-01
  -8.00000   1    2.400000   -4.812567e+01   -6.731647e-01
  -8.00000   1    2.500000   -4.752623e+01   -7.605260e-01
  -8.00000   1    2.600000   -4.684903e+01   -8.636380e-01
  -8.00000   1    2.700000   -4.608696e+01   -9.848117e-01
  -8.00000   1    2.800000   -4.523308e+01   -1.126471e+00
  -8.00000   1    2.900000   -4.428100e+01   -1.291052e+00
  -8.00000   1    3.000000   -4.322516e+01   -1.480845e+00
  -8.00000   1    3.100000   -4.206129e+01   -1.697778e+00
