# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: -8 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26781 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  -8.00000   1    0.267810   -5.204465e+01   -2.328373e-01
  -8.00000   1    0.535620   -5.195414e+01   -2.384294e-01
  -8.00000   1    0.803430   -5.181989e+01   -2.476765e-01
  -8.00000   1    1.071240   -5.162116e+01   -2.629429e-01
  -8.00000   1    1.339050   -5.132792e+01   -2.880910e-01
  -8.00000   1    1.606860   -5.089719e+01   -3.293847e-01
  -8.00000   1    1.874670   -5.026875e+01   -3.968587e-01
  -8.00000   1    2.142480   -4.936078e+01   -5.062656e-01
  -8.00000   1    2.410290   -4.806736e+01   -6.814912e-01
  -8.00000   1    2.678100   -4.626147e+01   -9.566080e-01
  -8.00000   1    2.945910   -4.380944e+01   -1.374927e+00
  -8.00000   1    3.213720   -4.060329e+01   -1.979021e+00
  -8.00000   1    3.481530   -3.661165e+01   -2.782301e+00
  -8.00000   1    3.749340   -3.193464e+01   -3.718055e+00
  -8.00000   1    4.017150   -2.682881e+01   -4.592454e+00
  -8.00000   1    4.284960   -2.166779e+01   -5.116152e+00
  -8.00000   1    4.552770   -1.684135e+01   -5.064755e+00
  -8.00000   1    4.820580   -1.264518e+01   -4.453187e+00
  -8.00000   1    5.088390   -9.222067e+00   -3.523935e+00
  -8.00000   1    5.356200   -6.571771e+00   -2.563693e+00
  -8.00000   1    5.624010   -4.601640e+00   -1.753718e+00
  -8.00000   1    5.891820   -3.180981e+00   -1.149953e+00
  -8.00000   1    6.159630   -2.178857e+00   -7.333870e-01
  -8.00000   1    6.427440   -1.482893e+00   -4.595146e-01
  -8.00000   1    6.695250   -1.004769e+00   -2.847551e-01
  -8.00000   1    6.963060   -6.787431e-01   -1.752677e-01
  -8.00000   1    7.230870   -4.575607e-01   -1.074371e-01
  -8.00000   1    7.498680   -3.080244e-01   -6.569795e-02
