# Radial optical model potential from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Energy grid: 20 to 20 MeV, 1 MeV step
# Radial grid: 0 to 21 fm, 0.26746 fm step
# l = 0 (j = l + 1/2, l.s = l)
# Columns: E(MeV)  k  r(fm)  Re(U)(MeV)  Im(U)(MeV)
  20.00000   1    0.267460   -4.486719e+01   -1.733356e+00
  20.00000   1    0.534920   -4.478933e+01   -1.738004e+00
  20.00000   1    0.802380   -4.467389e+01   -1.746108e+00
  20.00000   1    1.069840   -4.450311e+01   -1.760107e+00
  20.00000   1    1.337300   -4.425122e+01   -1.784090e+00
  20.00000   1    1.604760   -4.388139e+01   -1.824838e+00
  20.00000   1    1.872220   -4.334205e+01   -1.893448e+00
  20.00000   1    2.139680   -4.256310e+01   -2.007679e+00
  20.00000   1    2.407140   -4.145379e+01   -2.194953e+00
  20.00000   1    2.674600   -3.990519e+01   -2.495063e+00
  20.00000   1    2.942060   -3.780245e+01   -2.959436e+00
  20.00000   1    3.209520   -3.505227e+01   -3.639549e+00
  20.00000   1    3.476980   -3.162632e+01   -4.552591e+00
  20.00000   1    3.744440   -2.760845e+01   -5.618502e+00
  20.00000   1    4.011900   -2.321670e+01   -6.600178e+00
  20.00000   1    4.279360   -1.877073e+01   -7.139859e+00
  20.00000   1    4.546820   -1.460599e+01   -6.957883e+00
  20.00000   1    4.814280   -1.097893e+01   -6.073945e+00
  20.00000   1    5.081740   -8.015245e+00   -4.796822e+00
  20.00000   1    5.349200   -5.717252e+00   -3.493584e+00
  20.00000   1    5.616660   -4.006776e+00   -2.397125e+00
  20.00000   1    5.884120   -2.771952e+00   -1.578735e+00
  20.00000   1    6.151580   -1.900054e+00   -1.012253e+00
  20.00000   1    6.419040   -1.294007e+00   -6.381736e-01
  20.00000   1    6.686500   -8.773337e-01   -3.982153e-01
  20.00000   1    6.953960   -5.930111e-01   -2.469833e-01
  20.00000   1    7.221420   -3.999958e-01   -1.526699e-01
  20.00000   1    7.488880   -2.694228e-01   -9.421275e-02
  20.00000   1    7.756340   -1.813004e-01   -5.810337e-02
  20.00000   1    8.023800   -1.219224e-01   -3.583657e-02
  20.00000   1    8.291260   -8.195585e-02   -2.211472e-02
