# Well depths from MARLEY KoningDelarocheOpticalModel
# Target: Z=18  A=40  nuclide=Ar40
# Grid: -8.0 to 20.0 MeV, 0.1 MeV step
#
# --- Table 1: Energy-dependent potential depths ---
# Columns: E(MeV)  k  Vv(MeV)  Wv(MeV)  Wd(MeV)  Vso(MeV)  Wso(MeV)
  -8.00000   1  5.223044e+01  2.243505e-01  5.086453e+00  0.000000e+00  0.000000e+00
  -8.00000   2  6.004935e+01  1.561620e-01  4.718714e+00  0.000000e+00  0.000000e+00
  -7.00000   1  5.223044e+01  2.243505e-01  5.086453e+00  0.000000e+00  0.000000e+00
  -7.00000   2  6.004935e+01  1.561620e-01  4.718714e+00  0.000000e+00  0.000000e+00
  -6.00000   1  5.223044e+01  2.243505e-01  5.086453e+00  0.000000e+00  0.000000e+00
  -6.00000   2  6.004935e+01  1.561620e-01  4.718714e+00  0.000000e+00  0.000000e+00
   0.00000   1  5.223044e+01  2.243505e-01  5.086453e+00  0.000000e+00  0.000000e+00
   0.00000   2  6.004935e+01  1.561620e-01  4.718714e+00  0.000000e+00  0.000000e+00
   1.00000   1  5.185021e+01  2.694242e-01  5.499836e+00  0.000000e+00  0.000000e+00
   1.00000   2  5.961479e+01  1.978908e-01  5.401693e+00  0.000000e+00  0.000000e+00
   2.00000   1  5.147211e+01  3.183349e-01  5.851570e+00  0.000000e+00  0.000000e+00
   2.00000   2  5.918236e+01  2.443367e-01  6.012141e+00  0.000000e+00  0.000000e+00
   4.00000   1  5.072229e+01  4.272899e-01  6.385894e+00  0.000000e+00  0.000000e+00
   4.00000   2  5.832392e+01  3.510098e-01  7.002783e+00  0.000000e+00  0.000000e+00
   6.00000   1  4.998094e+01  5.504040e-01  6.728862e+00  0.000000e+00  0.000000e+00
   6.00000   2  5.747402e+01  4.753639e-01  7.704296e+00  0.000000e+00  0.000000e+00
   8.00000   1  4.924805e+01  6.867863e-01  6.922028e+00  0.000000e+00  0.000000e+00
   8.00000   2  5.663262e+01  6.164685e-01  8.162455e+00  0.000000e+00  0.000000e+00
  10.00000   1  4.852360e+01  8.354814e-01  7.001624e+00  0.000000e+00  0.000000e+00
  10.00000   2  5.579972e+01  7.732968e-01  8.428554e+00  0.000000e+00  0.000000e+00
  12.00000   1  4.780757e+01  9.954851e-01  6.996774e+00  0.000000e+00  0.000000e+00
  12.00000   2  5.497528e+01  9.447432e-01  8.548366e+00  0.000000e+00  0.000000e+00
  14.00000   1  4.709994e+01  1.165759e+00  6.929981e+00  0.000000e+00  0.000000e+00
  14.00000   2  5.415930e+01  1.129642e+00  8.559081e+00  0.000000e+00  0.000000e+00
  16.00000   1  4.640069e+01  1.345247e+00  6.818306e+00  0.000000e+00  0.000000e+00
  16.00000   2  5.335174e+01  1.326783e+00  8.489590e+00  0.000000e+00  0.000000e+00
  18.00000   1  4.570981e+01  1.532887e+00  6.674569e+00  0.000000e+00  0.000000e+00
  18.00000   2  5.255260e+01  1.534935e+00  8.361848e+00  0.000000e+00  0.000000e+00
  20.00000   1  4.502727e+01  1.727625e+00  6.508379e+00  0.000000e+00  0.000000e+00
  20.00000   2  5.176184e+01  1.752853e+00  8.192374e+00  0.000000e+00  0.000000e+00
#
# --- Table 2: Folded geometries ---
# Columns: E(MeV)  k  Rv(fm)  av(fm)  Rd(fm)  ad(fm)  Rso(fm)  aso(fm)
  -8.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  -8.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  -7.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  -7.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  -6.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  -6.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   0.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   0.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   1.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   1.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   2.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   2.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   4.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   4.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   6.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   6.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
   8.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
   8.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  10.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  10.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  12.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  12.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  14.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  14.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  16.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  16.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  18.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  18.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
  20.00000   1      4.053875      0.671852      4.405561      0.537976      3.407011      0.590000
  20.00000   2      4.053875      0.671852      4.405561      0.539520      3.407011      0.590000
