Ar-40 + neutrino, initial exciton state: (1,0,0,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0             1.21212             1.81818
        2.56         2.66899e+20         1.24757e+21             1.21212             1.81818
        4.12         7.51083e+21         1.69661e+22             1.21212             1.81818
        5.68         2.54047e+22         5.05715e+22             1.21212             1.81818
        7.24         5.27578e+22         9.96418e+22             1.21212             1.81818
         8.8         8.82215e+22         1.61887e+23             1.21212             1.81818
       10.36          1.3064e+23         2.35403e+23             1.21212             1.81818
       11.92         1.79053e+23         3.18621e+23             1.21212             1.81818
       13.48         2.32664e+23         4.10247e+23             1.21212             1.81818
       15.04         2.90811e+23         5.09207e+23             1.21212             1.81818
        16.6         3.52938e+23         6.14599e+23             1.21212             1.81818
       18.16         4.18576e+23         7.25665e+23             1.21212             1.81818
       19.72         4.87326e+23          8.4176e+23             1.21212             1.81818
       21.28         5.58848e+23         9.62335e+23             1.21212             1.81818
       22.84          6.3285e+23         1.08691e+24             1.21212             1.81818
        24.4         7.09079e+23         1.21509e+24             1.21212             1.81818
       25.96         7.87315e+23         1.34651e+24             1.21212             1.81818
       27.52         8.67367e+23         1.48087e+24             1.21212             1.81818
       29.08         9.49067e+23         1.61788e+24             1.21212             1.81818
       30.64         1.03227e+24         1.75732e+24             1.21212             1.81818
        32.2         1.11684e+24         1.89897e+24             1.21212             1.81818
       33.76         1.20266e+24         2.04264e+24             1.21212             1.81818
       35.32         1.28963e+24         2.18817e+24             1.21212             1.81818
       36.88         1.37766e+24         2.33541e+24             1.21212             1.81818
       38.44         1.46666e+24         2.48422e+24             1.21212             1.81818
          40         1.55619e+24         2.63385e+24             1.21212             1.81818
