Ar-40 + neutrino, exciton state: (1,0,0,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68         4.02522e+21         9.81337e+21                   0                   0
        7.24         2.13133e+22         4.28316e+22                   0                   0
         8.8         4.99477e+22         9.43436e+22                   0                   0
       10.36         8.76112e+22         1.60456e+23                   0                   0
       11.92         1.32646e+23         2.38463e+23                   0                   0
       13.48         1.83832e+23         3.26387e+23                   0                   0
       15.04         2.40232e+23         4.22715e+23                   0                   0
        16.6         3.01108e+23         5.26258e+23                   0                   0
       18.16         3.65867e+23         6.36058e+23                   0                   0
       19.72          4.3402e+23         7.51328e+23                   0                   0
       21.28         5.05162e+23         8.71415e+23                   0                   0
       22.84         5.78953e+23          9.9577e+23                   0                   0
        24.4         6.55102e+23         1.12393e+24                   0                   0
       25.96         7.33362e+23         1.25549e+24                   0                   0
       27.52          8.1352e+23          1.3901e+24                   0                   0
       29.08         8.95391e+23         1.52748e+24                   0                   0
       30.64         9.78814e+23         1.66736e+24                   0                   0
        32.2         1.06365e+24         1.80951e+24                   0                   0
       33.76         1.14977e+24         1.95374e+24                   0                   0
       35.32         1.23706e+24         2.09986e+24                   0                   0
       36.88         1.32543e+24         2.24771e+24                   0                   0
       38.44          1.4148e+24         2.39717e+24                   0                   0
          40         1.50494e+24         2.54788e+24                   0                   0


Ar-40 + neutrino, exciton state: (2,1,0,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68                   0                   0                   0                   0
        7.24                   0         1.15317e+19         3.50879e+24                   0
         8.8         1.06109e+20         4.85109e+21         7.43639e+23                   0
       10.36         2.26843e+21         2.21026e+22         4.57014e+23                   0
       11.92          8.9124e+21          5.2597e+22         3.59946e+23                   0
       13.48         2.07319e+22         9.53528e+22         3.16639e+23                   0
       15.04         3.76624e+22          1.4919e+23         2.94935e+23                   0
        16.6         5.94052e+22         2.13012e+23         2.83745e+23                   0
       18.16         8.56043e+22         2.85857e+23          2.7832e+23                   0
       19.72         1.15908e+23         3.66885e+23         2.76312e+23                   0
       21.28         1.49987e+23         4.55368e+23         2.76443e+23                   0
       22.84         1.87544e+23         5.50668e+23          2.7796e+23                   0
        24.4         2.28308e+23         6.52226e+23         2.80398e+23                   0
       25.96         2.72036e+23         7.59545e+23         2.83454e+23                   0
       27.52          3.1851e+23         8.72187e+23         2.86925e+23                   0
       29.08         3.67532e+23         9.89758e+23         2.90671e+23                   0
       30.64         4.18924e+23         1.11191e+24         2.94593e+23                   0
        32.2         4.72524e+23         1.23831e+24         2.98622e+23                   0
       33.76         5.28185e+23         1.36869e+24         3.02705e+23                   0
       35.32         5.85774e+23         1.50277e+24         3.06806e+23                   0
       36.88         6.45169e+23         1.64033e+24         3.10897e+23                   0
       38.44         7.06259e+23         1.78115e+24         3.14958e+23                   0
          40         7.68939e+23         1.92502e+24         3.18974e+23                   0


Ar-40 + neutrino, exciton state: (1,0,1,2)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68                   0                   0                   0         1.60683e+27
        7.24         5.28744e+18                   0                   0          1.5123e+24
         8.8         2.83578e+21         1.28045e+21                   0         4.08624e+23
       10.36         1.38065e+22         1.02604e+22                   0         2.68347e+23
       11.92         3.39491e+22         3.03458e+22                   0          2.1839e+23
       13.48         6.27587e+22         6.17621e+22                   0         1.95899e+23
       15.04         9.94723e+22         1.03847e+23                   0         1.84849e+23
        16.6         1.43343e+23         1.55748e+23                   0         1.79484e+23
       18.16         1.93696e+23         2.16625e+23                   0         1.77274e+23
       19.72         2.49942e+23         2.85704e+23                   0         1.76944e+23
       21.28          3.1156e+23         3.62291e+23                   0         1.77792e+23
       22.84         3.78095e+23         4.45767e+23                   0           1.794e+23
        24.4         4.49147e+23         5.35582e+23                   0         1.81507e+23
       25.96         5.24359e+23         6.31244e+23                   0         1.83944e+23
       27.52         6.03414e+23         7.32315e+23                   0         1.86596e+23
       29.08         6.86031e+23         8.38401e+23                   0         1.89384e+23
       30.64         7.71955e+23         9.49146e+23                   0         1.92253e+23
        32.2         8.60956e+23         1.06423e+24                   0         1.95164e+23
       33.76         9.52827e+23         1.18336e+24                   0         1.98087e+23
       35.32         1.04738e+24         1.30628e+24                   0         2.01003e+23
       36.88         1.14444e+24         1.43274e+24                   0         2.03895e+23
       38.44         1.24386e+24         1.56252e+24                   0         2.06753e+23
          40         1.34549e+24         1.69542e+24                   0         2.09569e+23


Ar-40 + neutrino, exciton state: (1,0,2,3)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68                   0                   0                   0                   0
        7.24                   0                   0                   0                   0
         8.8         2.00538e+16                   0                   0         6.85066e+25
       10.36          3.7444e+20         5.32359e+17                   0         8.49464e+24
       11.92          3.5365e+21         2.56137e+20                   0         3.46615e+24
       13.48         1.15124e+22         2.34046e+21                   0         2.12331e+24
       15.04         2.50024e+22          8.2367e+21                   0         1.57117e+24
        16.6         4.51097e+22          1.9856e+22                   0         1.24337e+24
       18.16         7.11828e+22         3.77487e+22                   0         1.05963e+24
       19.72         1.03252e+23         6.24041e+22                   0         9.41822e+23
       21.28         1.41053e+23         9.39009e+22                   0          8.6235e+23
       22.84         1.84297e+23         1.32143e+23                   0         8.06759e+23
        24.4         2.32688e+23         1.76938e+23                   0         7.66862e+23
       25.96          2.8594e+23         2.28043e+23                   0         7.37727e+23
       27.52         3.43779e+23          2.8519e+23                   0         7.16229e+23
       29.08         4.05949e+23         3.48108e+23                   0         7.00305e+23
       30.64         4.72212e+23         4.16524e+23                   0         6.88543e+23
        32.2         5.42342e+23         4.90176e+23                   0         6.79951e+23
       33.76         6.16134e+23         5.68811e+23                   0          6.7381e+23
       35.32         6.93394e+23         6.52188e+23                   0         6.69593e+23
       36.88         7.73942e+23         7.40079e+23                   0           6.669e+23
       38.44         8.57611e+23          8.3227e+23                   0         6.65428e+23
          40         9.44246e+23         9.28556e+23                   0         6.64941e+23


Ar-40 + neutrino, exciton state: (2,1,2,3)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68                   0                   0                   0                   0
        7.24                   0                   0                   0                   0
         8.8                   0                   0         1.31998e+30         7.41343e+30
       10.36                   0                   0         4.47645e+25          1.6324e+26
       11.92         2.23346e+18          3.0958e+17          5.2968e+24         1.57868e+25
       13.48         1.82641e+20         9.94698e+19         2.02546e+24         5.39464e+24
       15.04         1.31869e+21         1.03684e+21         1.18231e+24         2.93697e+24
        16.6         4.36848e+21         4.07407e+21         8.43951e+23         2.00139e+24
       18.16         1.00365e+22         1.03304e+22         6.73146e+23         1.54521e+24
       19.72         1.87541e+22         2.05845e+22         5.74284e+23         1.28733e+24
       21.28         3.07584e+22         3.53209e+22         5.11759e+23         1.12683e+24
       22.84         4.61606e+22         5.48142e+22         4.69746e+23         1.02013e+24
        24.4         6.49924e+22         7.91968e+22         4.40283e+23         9.45773e+23
       25.96         8.72355e+22         1.08507e+23         4.18978e+23         8.92156e+23
       27.52          1.1284e+23          1.4272e+23         4.03229e+23         8.52507e+23
       29.08         1.42032e+23          1.8217e+23         3.89519e+23         8.18671e+23
       30.64         1.74614e+23          2.2662e+23         3.78434e+23         7.91452e+23
        32.2         2.10545e+23         2.76026e+23         3.69244e+23         7.69016e+23
       33.76         2.49728e+23         3.30267e+23         3.61641e+23         7.50505e+23
       35.32         2.92059e+23         3.89207e+23         3.55364e+23         7.35225e+23
       36.88         3.37436e+23         4.52703e+23         3.50197e+23         7.22619e+23
       38.44         3.85752e+23          5.2061e+23         3.45964e+23         7.12237e+23
          40         4.36905e+23         5.92781e+23         3.42519e+23         7.03717e+23


