Ar-40 + neutron, exciton state: (1,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0          8.1562e+19         1.61939e+21                   0
           3         6.54629e+20         1.50092e+22          2.1513e+22                   0
           4         4.49628e+21         4.02993e+22         3.45502e+22                   0
           5         1.13913e+22         7.43976e+22         4.60466e+22                   0
           6         2.08293e+22         1.15732e+23         5.63734e+22                   0
           7         3.24341e+22         1.63237e+23         6.57619e+22                   0
           8         4.59207e+22         2.16116e+23         7.43696e+22                   0
           9         6.10642e+22         2.73737e+23         8.23109e+22                   0
          10         7.76805e+22         3.35584e+23         8.96736e+22                   0
          11         9.56159e+22         4.01221e+23         9.65272e+22                   0
          12          1.1474e+23         4.70277e+23         1.02929e+23                   0
          13         1.34929e+23         5.42391e+23         1.05226e+23                   0
          14         1.55738e+23         6.15909e+23         1.02333e+23                   0
          15         1.76472e+23         6.88267e+23         9.96169e+22                   0
          16         1.96641e+23         7.57782e+23         9.70666e+22                   0
          17         2.15924e+23         8.23432e+23         9.46715e+22                   0
          18         2.34121e+23         8.84641e+23         9.24226e+22                   0
          19         2.51113e+23         9.41133e+23         9.03118e+22                   0
          20         2.66847e+23         9.92838e+23          8.8332e+22                   0
          21         2.81315e+23         1.03983e+24         8.64768e+22                   0
          22         2.94541e+23         1.08229e+24         8.47406e+22                   0
          23         3.06575e+23         1.12047e+24         8.31181e+22                   0
          24         3.17483e+23         1.15466e+24         8.16049e+22                   0
          25         3.27348e+23          1.1852e+24         8.01969e+22                   0


Ar-40 + neutron, exciton state: (0,0,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2         6.38312e+19                   0                   0         9.91837e+20
           3         1.17463e+22         3.53009e+21                   0         1.31762e+22
           4         3.15386e+22         1.80709e+22                   0         2.11612e+22
           5         5.82242e+22         4.20386e+22                   0         2.82025e+22
           6         9.05732e+22         7.37751e+22                   0         3.45274e+22
           7         1.27751e+23         1.12116e+23                   0         4.02776e+22
           8         1.69134e+23         1.56191e+23                   0         4.55496e+22
           9         2.14229e+23         2.05314e+23                   0         5.04135e+22
          10         2.62631e+23         2.58925e+23                   0          5.4923e+22
          11         3.13999e+23         3.16556e+23                   0         5.91207e+22
          12         3.68043e+23         3.77809e+23                   0         6.30414e+22
          13          4.2448e+23         4.42308e+23                   0         6.44483e+22
          14         4.82016e+23         5.08619e+23                   0         6.26764e+22
          15         5.38644e+23         5.74507e+23                   0          6.1013e+22
          16         5.93046e+23         6.38424e+23                   0          5.9451e+22
          17         6.44425e+23         6.99371e+23                   0         5.79841e+22
          18         6.92328e+23         7.56731e+23                   0         5.66067e+22
          19         7.36539e+23         8.10161e+23                   0         5.53139e+22
          20         7.77004e+23         8.59513e+23                   0         5.41013e+22
          21         8.13782e+23         9.04781e+23                   0          5.2965e+22
          22         8.47013e+23         9.46062e+23                   0         5.19016e+22
          23          8.7689e+23         9.83528e+23                   0         5.09079e+22
          24         9.03648e+23         1.01741e+24                   0         4.99811e+22
          25         9.27548e+23         1.04796e+24                   0         4.91187e+22


Ar-40 + neutron, exciton state: (1,1,1,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4         8.22337e+20         1.02943e+21         8.68412e+21                   0
           5         4.87445e+21         7.97351e+21         1.95955e+22                   0
           6           1.251e+22         2.23104e+22         2.90928e+22                   0
           7         2.34396e+22         4.36278e+22         3.75659e+22                   0
           8         3.73382e+22         7.12952e+22         4.52833e+22                   0
           9         5.39186e+22         1.04722e+23         5.24058e+22                   0
          10         7.29356e+22         1.43393e+23         5.90375e+22                   0
          11         9.41787e+22          1.8686e+23          6.5251e+22                   0
          12         1.17466e+23         2.34734e+23         7.10999e+22                   0
          13         1.42638e+23         2.86674e+23         7.66254e+22                   0
          14         1.69541e+23         3.42349e+23          8.1341e+22                   0
          15         1.97909e+23         4.01205e+23         8.49735e+22                   0
          16         2.27349e+23         4.62428e+23         8.77715e+22                   0
          17         2.57447e+23         5.25152e+23         8.99198e+22                   0
          18         2.87818e+23         5.88571e+23         9.15583e+22                   0
          19         3.18132e+23         6.51986e+23         9.27948e+22                   0
          20         3.48118e+23         7.14823e+23         9.37134e+22                   0
          21         3.77566e+23         7.76631e+23         9.43807e+22                   0
          22          4.0632e+23         8.37071e+23         9.48501e+22                   0
          23         4.34273e+23         8.95909e+23         9.51648e+22                   0
          24         4.61361e+23         9.52996e+23         9.53603e+22                   0
          25         4.87554e+23         1.00827e+24         9.54656e+22                   0


Ar-40 + neutron, exciton state: (1,0,1,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0         7.91273e+16                   0                   0
           4         1.25852e+20         2.53841e+21                   0         2.72848e+21
           5         2.56764e+21         1.26051e+22                   0          9.6008e+21
           6         9.22016e+21         3.03131e+22                   0         1.57884e+22
           7         2.02066e+22         5.48965e+22                   0         2.12671e+22
           8         3.52488e+22          8.5629e+22                   0         2.62114e+22
           9         5.40153e+22         1.21897e+23                   0          3.0741e+22
          10         7.61936e+22         1.63186e+23                   0          3.4935e+22
          11         1.01504e+23         2.09057e+23                   0         3.88476e+22
          12         1.29697e+23         2.59134e+23                   0         4.25182e+22
          13         1.60555e+23         3.13088e+23                   0         4.59769e+22
          14         1.93864e+23         3.70599e+23                   0         4.89342e+22
          15         2.29287e+23         4.31102e+23                   0         5.12262e+22
          16         2.66331e+23         4.93764e+23                   0         5.30026e+22
          17          3.0447e+23           5.577e+23                   0         5.43759e+22
          18         3.43206e+23           6.221e+23                   0         5.54316e+22
          19           3.821e+23          6.8627e+23                   0          5.6236e+22
          20         4.20788e+23         7.49648e+23                   0         5.68409e+22
          21         4.58979e+23         8.11797e+23                   0         5.72877e+22
          22         4.96447e+23         8.72399e+23                   0         5.76096e+22
          23         5.33033e+23         9.31237e+23                   0         5.78333e+22
          24         5.68631e+23         9.88186e+23                   0         5.79809e+22
          25         6.03185e+23          1.0432e+24                   0         5.80707e+22


Ar-40 + neutron, exciton state: (2,1,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4                   0         1.66745e+21         7.36398e+22                   0
           5                   0         1.18204e+22         9.00334e+22                   0
           6         6.10073e+19         3.01809e+22         1.05276e+23                   0
           7         9.10501e+20         5.57263e+22         1.19475e+23                   0
           8         3.27473e+21         8.76382e+22         1.32751e+23                   0
           9         7.37133e+21         1.25258e+23         1.45213e+23                   0
          10         1.32066e+22         1.68042e+23         1.56949e+23                   0
          11         2.07126e+22         2.15536e+23         1.68036e+23                   0
          12         2.97975e+22         2.67348e+23         1.78534e+23                   0
          13          4.0364e+22         3.23139e+23         1.88497e+23                   0
          14         5.23133e+22         3.82578e+23         1.96713e+23                   0
          15         6.55084e+22         4.45084e+23          2.0256e+23                   0
          16          7.9759e+22         5.09796e+23         2.06667e+23                   0
          17         9.48506e+22         5.75804e+23         2.09476e+23                   0
          18         1.10568e+23         6.42271e+23          2.1131e+23                   0
          19         1.26709e+23         7.08482e+23         2.12405e+23                   0
          20         1.43095e+23          7.7386e+23         2.12941e+23                   0
          21         1.59571e+23         8.37954e+23         2.13053e+23                   0
          22         1.76009e+23         9.00439e+23         2.12851e+23                   0
          23         1.92307e+23         9.61093e+23         2.12417e+23                   0
          24         2.08389e+23         1.01979e+24         2.11818e+23                   0
          25         2.24199e+23         1.07647e+24          2.1111e+23                   0


Ar-40 + neutron, exciton state: (0,0,2,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0                   0                   0                   0
           4         3.10875e+21                   0                   0         4.04777e+22
           5          1.3351e+22         5.96784e+19                   0         5.06431e+22
           6         2.98589e+22         2.32832e+21                   0          6.0097e+22
           7         5.18466e+22         9.82425e+21                   0         6.89052e+22
           8         7.86899e+22         2.32929e+22                   0         7.71431e+22
           9         1.09888e+23         4.26285e+22                   0         8.48769e+22
          10         1.45027e+23         6.75001e+22                   0         9.21618e+22
          11         1.83762e+23         9.75307e+22                   0         9.90439e+22
          12         2.25794e+23         1.32352e+23                   0         1.05562e+23
          13         2.70866e+23         1.71623e+23                   0         1.11748e+23
          14         3.18722e+23         2.15011e+23                   0         1.16883e+23
          15         3.68901e+23         2.62042e+23                   0         1.20594e+23
          16         4.20708e+23         3.12053e+23                   0         1.23251e+23
          17         4.73418e+23          3.6431e+23                   0         1.25117e+23
          18         5.26367e+23         4.18096e+23                   0         1.26383e+23
          19         5.78994e+23          4.7276e+23                   0         1.27192e+23
          20         6.30847e+23         5.27736e+23                   0         1.27652e+23
          21         6.81584e+23         5.82552e+23                   0         1.27846e+23
          22         7.30955e+23         6.36828e+23                   0          1.2784e+23
          23         7.78797e+23         6.90275e+23                   0         1.27684e+23
          24          8.2502e+23         7.42681e+23                   0         1.27421e+23
          25         8.69595e+23          7.9391e+23                   0         1.27084e+23


Ar-40 + neutron, exciton state: (2,2,0,0)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
           2                   0                   0                   0                   0
           3                   0         2.69996e+20         9.53016e+22                   0
           4                   0         5.15705e+21         1.18988e+23                   0
