Ar-40 + neutrino, exciton state: (1,0,0,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56         2.66899e+20         1.24757e+21                   0                   0
        4.12         7.51083e+21         1.69661e+22                   0                   0
        5.68         2.54047e+22         5.05715e+22                   0                   0
        7.24         5.27578e+22         9.96418e+22                   0                   0
         8.8         8.82215e+22         1.61887e+23                   0                   0
       10.36          1.3064e+23         2.35403e+23                   0                   0
       11.92         1.79053e+23         3.18621e+23                   0                   0
       13.48         2.32664e+23         4.10247e+23                   0                   0
       15.04         2.90811e+23         5.09207e+23                   0                   0
        16.6         3.52938e+23         6.14599e+23                   0                   0
       18.16         4.18576e+23         7.25665e+23                   0                   0
       19.72         4.87326e+23          8.4176e+23                   0                   0
       21.28         5.58848e+23         9.62335e+23                   0                   0
       22.84          6.3285e+23         1.08691e+24                   0                   0
        24.4         7.09079e+23         1.21509e+24                   0                   0
       25.96         7.87315e+23         1.34651e+24                   0                   0
       27.52         8.67367e+23         1.48087e+24                   0                   0
       29.08         9.49067e+23         1.61788e+24                   0                   0
       30.64         1.03227e+24         1.75732e+24                   0                   0
        32.2         1.11684e+24         1.89897e+24                   0                   0
       33.76         1.20266e+24         2.04264e+24                   0                   0
       35.32         1.28963e+24         2.18817e+24                   0                   0
       36.88         1.37766e+24         2.33541e+24                   0                   0
       38.44         1.46666e+24         2.48422e+24                   0                   0
          40         1.55619e+24         2.63385e+24                   0                   0


Ar-40 + neutrino, exciton state: (2,1,0,1)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0         1.91077e+22                   0
        4.12         3.05451e+12         4.84146e+20         3.81899e+22                   0
        5.68         2.73641e+20         7.58075e+21         5.60442e+22                   0
        7.24         2.80131e+21         2.57029e+22         7.27855e+22                   0
         8.8         9.28593e+21         5.51059e+22         8.85148e+22                   0
       10.36         2.02706e+22         9.51848e+22         1.03321e+23                   0
       11.92         3.57883e+22         1.45182e+23         1.17284e+23                   0
       13.48         5.56763e+22         2.04345e+23         1.30472e+23                   0
       15.04         7.97006e+22         2.71972e+23         1.42949e+23                   0
        16.6         1.07606e+23         3.47419e+23         1.54772e+23                   0
       18.16          1.3914e+23         4.30098e+23         1.65989e+23                   0
       19.72          1.7406e+23         5.19477e+23         1.76646e+23                   0
       21.28         2.12138e+23         6.15072e+23         1.86785e+23                   0
       22.84         2.53164e+23         7.16446e+23         1.96443e+23                   0
        24.4         2.96942e+23         8.23198e+23         2.05652e+23                   0
       25.96         3.43292e+23         9.34964e+23         2.14443e+23                   0
       27.52         3.92049e+23         1.05141e+24         2.22844e+23                   0
       29.08          4.4306e+23         1.17224e+24         2.30881e+23                   0
       30.64         4.96185e+23         1.29717e+24         2.38577e+23                   0
        32.2         5.51295e+23         1.42595e+24         2.45952e+23                   0
       33.76          6.0827e+23         1.55833e+24         2.53028e+23                   0
       35.32         6.67001e+23         1.69412e+24          2.5982e+23                   0
       36.88         7.27385e+23          1.8331e+24         2.66347e+23                   0
       38.44         7.89329e+23         1.97509e+24         2.72623e+23                   0
          40         8.52745e+23         2.11992e+24         2.78594e+23                   0


Ar-40 + neutrino, exciton state: (1,0,1,2)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0         4.54935e+21
        4.12         2.53754e+20         2.29516e+19                   0         1.88154e+22
        5.68         4.50868e+21         2.36556e+21                   0         3.13326e+22
        7.24         1.61123e+22         1.22344e+22                   0         4.28892e+22
         8.8         3.55541e+22         3.17136e+22                   0         5.36828e+22
       10.36         6.25405e+22           6.105e+22                   0         6.38133e+22
       11.92         9.65936e+22         9.98898e+22                   0         7.33502e+22
       13.48         1.37208e+23         1.47689e+23                   0         8.23491e+22
       15.04         1.83896e+23          2.0386e+23                   0         9.08567e+22
        16.6         2.36205e+23         2.67823e+23                   0         9.89134e+22
       18.16         2.93721e+23         3.39031e+23                   0         1.06555e+23
       19.72         3.56063e+23         4.16974e+23                   0         1.13813e+23
       21.28         4.22886e+23         5.01183e+23                   0         1.20717e+23
       22.84         4.93876e+23         5.91228e+23                   0         1.27291e+23
        24.4         5.68747e+23         6.86713e+23                   0         1.33559e+23
       25.96         6.47236e+23         7.87276e+23                   0         1.39543e+23
       27.52         7.29105e+23         8.92586e+23                   0          1.4526e+23
       29.08         8.14136e+23         1.00234e+24                   0         1.50729e+23
       30.64         9.02127e+23         1.11626e+24                   0         1.55965e+23
        32.2         9.92897e+23         1.23408e+24                   0         1.60983e+23
       33.76         1.08627e+24         1.35557e+24                   0         1.65796e+23
       35.32         1.18211e+24         1.48052e+24                   0         1.70418e+23
       36.88         1.28025e+24         1.60872e+24                   0         1.74858e+23
       38.44         1.38056e+24         1.73998e+24                   0         1.79126e+23
          40         1.48293e+24         1.87413e+24                   0          1.8319e+23


Ar-40 + neutrino, exciton state: (1,0,2,3)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0         5.86144e+22
        5.68         2.12771e+19                   0                   0         8.38934e+22
        7.24         1.30569e+21         2.39482e+19                   0         1.08069e+23
         8.8         6.66374e+21         8.47063e+20                   0         1.31211e+23
       10.36         1.75027e+22         4.54977e+21                   0         1.53385e+23
       11.92         3.42116e+22         1.29336e+22                   0          1.7465e+23
       13.48         5.67809e+22          2.7037e+22                   0         1.95061e+23
       15.04         8.50447e+22         4.73554e+22                   0         2.14669e+23
        16.6         1.18775e+23         7.40606e+22                   0          2.3352e+23
       18.16         1.57724e+23         1.07139e+23                   0         2.51657e+23
       19.72         2.01639e+23          1.4647e+23                   0          2.6912e+23
       21.28         2.50276e+23         1.91877e+23                   0         2.85946e+23
       22.84         3.03397e+23         2.43149e+23                   0         3.02169e+23
        24.4          3.6078e+23         3.00061e+23                   0         3.17821e+23
       25.96         4.22212e+23         3.62385e+23                   0         3.32931e+23
       27.52         4.87493e+23         4.29893e+23                   0         3.47527e+23
       29.08         5.56437e+23          5.0236e+23                   0         3.61635e+23
       30.64         6.28865e+23         5.79572e+23                   0          3.7528e+23
        32.2         7.04613e+23         6.61321e+23                   0         3.88483e+23
       33.76         7.83524e+23         7.47408e+23                   0         4.01265e+23
       35.32         8.65451e+23         8.37644e+23                   0         4.13647e+23
       36.88         9.50256e+23         9.31849e+23                   0         4.25647e+23
       38.44         1.03781e+24         1.02985e+24                   0         4.37283e+23
          40         1.12799e+24         1.13149e+24                   0         4.48569e+23


Ar-40 + neutrino, exciton state: (2,1,2,3)
Recall: Units for lambda are [1/s].

    E_x(MeV)          lambda_pi+          lambda_nu+       lambda_pi->nu       lambda_nu->pi
--------------------------------------------------------------------------------------------
           1                   0                   0                   0                   0
        2.56                   0                   0                   0                   0
        4.12                   0                   0                   0                   0
        5.68                   0                   0                   0         1.30191e+21
        7.24         7.40733e+14         1.22799e+10         9.71359e+20         2.09971e+22
         8.8         2.74267e+19         9.16799e+18          7.6082e+21         4.27302e+22
       10.36         5.16555e+20         3.43744e+20         1.72921e+22         6.30578e+22
       11.92         2.44619e+21         2.09827e+21         2.75889e+22          8.2227e+22
       13.48         6.71568e+21          6.5741e+21         3.77264e+22         1.00481e+23
       15.04         1.39211e+22         1.47776e+22         4.74912e+22         1.17973e+23
        16.6         2.44077e+22         2.73677e+22         5.68429e+22           1.348e+23
       18.16         3.83527e+22          4.4736e+22         6.57947e+22         1.51032e+23
       19.72         5.58261e+22         6.70889e+22         7.43743e+22         1.66719e+23
       21.28         7.68305e+22         9.45093e+22         8.26116e+22         1.81901e+23
       22.84         1.01326e+23         1.26999e+23         9.05346e+22          1.9661e+23
        24.4         1.29248e+23         1.64505e+23          9.8168e+22         2.10875e+23
       25.96         1.60512e+23         2.06942e+23         1.05533e+23         2.24719e+23
       27.52         1.95029e+23         2.54199e+23          1.1265e+23         2.38164e+23
       29.08           2.327e+23         3.06153e+23         1.19534e+23          2.5123e+23
       30.64         2.73428e+23         3.62674e+23           1.262e+23         2.63933e+23
        32.2         3.17113e+23         4.23624e+23         1.32661e+23          2.7629e+23
       33.76         3.63657e+23         4.88869e+23         1.38929e+23         2.88317e+23
       35.32         4.12964e+23         5.58272e+23         1.45015e+23         3.00027e+23
       36.88          4.6494e+23         6.31697e+23         1.50927e+23         3.11433e+23
       38.44         5.19494e+23         7.09015e+23         1.56675e+23         3.22547e+23
          40         5.76537e+23         7.90097e+23         1.62266e+23         3.33381e+23


