Ar-40 parameters:
  delta (pairing gap) = 3.79473 MeV
  n_crit              = 5

  E_x(MeV)      p(1,0,0,1)      p(2,1,0,1)      p(1,0,1,2)      p(1,0,2,3)      p(2,1,2,3)
------------------------------------------------------------------------------------------
    1.0000          0.0000          0.0000          0.0000          0.0000          0.0000
    1.9667          0.0000          0.0000          0.0000          0.0000          0.0000
    2.9333          0.0000          0.0000          0.0000          0.0000          0.0000
    3.9000          0.0000          0.0000          0.0000          0.0000          0.0000
    4.8667          3.4009          0.0000          0.0000          0.0000          0.0000
    5.8333          5.4596          0.0000          0.0054          0.0000          0.0000
    6.8000          7.4448          0.2097          0.5799          0.0000          0.0000
    7.7667          9.3778          1.6009          3.3212          0.0002          0.0000
    8.7333         11.2724          7.3605         13.4537          0.0367          0.0000
    9.7000         13.1378         17.3903         30.2658          0.4698          0.0003
   10.6667         14.9804         33.8161         57.1274          2.5212          0.0197
   11.6333         16.8050         58.1027         96.2162          8.8470          0.2690
   12.6000         18.6149         91.6560        149.6223         24.1104          1.7949
   13.5667         20.4128        135.8343        219.3665         55.5549          7.9765
   14.5333         22.2007        191.9587        307.4144        113.5767         27.2595
   15.5000         23.9800        261.3204        415.6883        212.2978         77.5124
   16.4667         25.7522        345.1871        546.0766        370.1387        192.3917
   17.4333         27.5182        444.8077        700.4402        640.3737        430.1009
   18.4000         29.2787        561.4164        880.6185       1022.9555        884.9281
   19.3667         31.0346        696.2349       1088.4331       1571.4908       1701.9485
   20.3333         32.7864        850.4749       1325.6910       2334.9847       3095.2770
   21.3000         34.5345       1025.3400       1594.1877       3371.0837       5370.2553
   22.2667         36.2794       1222.0270       1895.7085       4746.7054       8949.9615
   23.2333         38.0213       1441.7268       2232.0304       6538.6594      14406.4236
   24.2000         39.7607       1685.6256       2604.9235       8834.2610      22496.9270
   25.1667         41.4977       1954.9053       3016.1519      11731.9380      34205.7971
   26.1333         43.2327       2250.7443       3467.4746      15341.8337      50792.0452
   27.1000         44.9656       2574.3181       3960.6461      19786.4055      73843.2627
   28.0667         46.6969       2926.7993       4497.4171      25201.0204     105336.1471
   29.0333         48.4265       3309.3584       5079.5350      31734.5476     148399.1729
   30.0000         50.1547       3723.1636       5708.7442      39549.9495     205565.5866
