Ar-40 parameters:
  delta (pairing gap) = 3.79473 MeV
  n_crit              = 5

Recall: Units for omega are [1/MeV].

  E_x(MeV)  omega(1,0,0,1)  omega(2,1,0,1)  omega(1,0,1,2)  omega(1,0,2,3)  omega(2,1,2,3)
------------------------------------------------------------------------------------------
    1.0000          0.0000          0.0000          0.0000          0.0000          0.0000
    2.5600          0.0000          0.0000          0.0000          0.0000          0.0000
    4.1200          1.7392          0.0000          0.0000          0.0000          0.0000
    5.6800          5.1386          0.0000          0.0004          0.0000          0.0000
    7.2400          8.3301          0.6276          1.4562          0.0000          0.0000
    8.8000         11.4019          7.8781         14.3371          0.0460          0.0000
   10.3600         14.3980         27.8222         47.3832          1.5686          0.0067
   11.9200         17.3432         67.0244        110.4682         12.1692          0.4993
   13.4800         20.2521        131.4054        212.3954         51.8300          7.0640
   15.0400         23.1343        226.5822        361.5221        159.1848         48.0642
   16.6000         25.9961        357.9632        565.9010        412.1623        216.1879
   18.1600         28.8421        530.8133        833.3761        914.2065        744.8608
   19.7200         31.6754        750.2965       1171.6458       1822.7852       2130.5087
   21.2800         34.4984       1021.5052       1588.3042       3346.4546       5311.6580
   22.8400         37.3129       1349.4788       2090.8693       5753.9313      11915.8595
   24.4000         40.1203       1739.2173       2686.8019       9380.9248      24585.4232
   25.9600         42.9217       2195.6906       3383.5193      14636.8359      47392.9497
   27.5200         45.7180       2723.8449       4188.4047      22011.3608      86357.6448
   29.0800         48.5100       3328.6080       5108.8148      32081.0273     150802.2342
   30.6400         51.2981       4014.8925       6152.0842      45515.6816     253122.8243
   32.2000         54.0828       4787.5991       7325.5303      63084.9393     410642.1549
   33.7600         56.8647       5651.6182       8636.4557      85664.6087     646394.1811
   35.3200         59.6439       6611.8320      10092.1510     114243.0929     990543.2269
   36.8800         62.4208       7673.1154      11699.8964     149927.7756    1481911.8313
   38.4400         64.4494       8840.3110      13466.9231     193951.3931    2169707.2272
   40.0000         64.5702      10115.8325      15396.7662     247678.1644    3115457.6572
